,k,P
1713,0.006600360558958,6500.024228571
1714,0.006606790247991,6503.801212858
1715,0.00661322033492,6507.574552668
1716,0.006619650819108,6511.344249587
1717,0.006626081699922,6515.110305202
1718,0.006632512976733,6518.872720185
1719,0.006638944648913,6522.631497729
1720,0.006645376715838,6526.386638683
1721,0.006651809176886,6530.138144643
1722,0.00665824203144,6533.886017211
1723,0.006664675278882,6537.630257994
1724,0.006671108918599,6541.370867243
1725,0.006677542949983,6545.107848916
1726,0.006683977372423,6548.841203536
1727,0.006690412185317,6552.570932209
1728,0.006696847388061,6556.297037402
1729,0.006703282980057,6560.019520328
1730,0.006709718960708,6563.738382595
1731,0.006716155329419,6567.453625816
1732,0.006722592085599,6571.165251616
1733,0.00672902922866,6574.873259751
1734,0.006735466758016,6578.577655108
1735,0.006741904673084,6582.278437788
1736,0.006748342973283,6585.975609414
1737,0.006754781658034,6589.669171602
1738,0.006761220726763,6593.359125971
1739,0.006767660178898,6597.045474146
1740,0.006774100013867,6600.728216668
1741,0.006780540231103,6604.407357052
1742,0.006786980830041,6608.082896062
1743,0.00679342181012,6611.754835328
1744,0.006799863170778,6615.423176482
1745,0.00680630491146,6619.087921163
1746,0.006812747031609,6622.749069478
1747,0.006819189530675,6626.40662573
1748,0.006825632408107,6630.060590332
1749,0.006832075663359,6633.710964388
1750,0.006838519295885,6637.357750475
1751,0.006844963305144,6641.000949794
1752,0.006851407690596,6644.640563979
1753,0.006857852451704,6648.276594674
1754,0.006864297587932,6651.909043532
1755,0.00687074309875,6655.537909885
1756,0.006877188983627,6659.163199916
1757,0.006883635242036,6662.7849126
1758,0.006890081873452,6666.403049934
1759,0.006896528877352,6670.017613557
1760,0.006902976253216,6673.628605113
1761,0.006909424000527,6677.236026257
1762,0.00691587211877,6680.839877561
1763,0.00692232060743,6684.440162845
1764,0.006928769465999,6688.036881915
1765,0.006935218693968,6691.630037554
1766,0.00694166829083,6695.219630973
1767,0.006948118256083,6698.805663833
1768,0.006954568589226,6702.388137809
1769,0.006961019289759,6705.967054587
1770,0.006967470357186,6709.542413619
1771,0.006973921791012,6713.114220434
1772,0.006980373590747,6716.682474915
1773,0.0069868257559,6720.247178712
1774,0.006993278285984,6723.80833349
1775,0.006999731180514,6727.365940921
1776,0.007006184439008,6730.920002257
1777,0.007012638060984,6734.470519113
1778,0.007019092045964,6738.017494206
1779,0.007025546393473,6741.560928567
1780,0.007032001103037,6745.100823866
1781,0.007038456174184,6748.637181782
1782,0.007044911606444,6752.170002439
1783,0.007051367399351,6755.699290246
1784,0.007057823552439,6759.225045618
1785,0.007064280065247,6762.747269659
1786,0.007070736937312,6766.265965035
1787,0.007077194168177,6769.781132968
1788,0.007083651757386,6773.292775132
1789,0.007090109704484,6776.80089321
1790,0.007096568009019,6780.305488896
1791,0.007103026670543,6783.80656325
1792,0.007109485688606,6787.304117157
1793,0.007115945062763,6790.798155131
1794,0.007122404792571,6794.288677328
1795,0.007128864877589,6797.775685429
1796,0.007135325317377,6801.259181118
1797,0.007141786111498,6804.739166084
1798,0.007148247259518,6808.215640735
1799,0.007154708761002,6811.688608977
1800,0.007161170615521,6815.158071479
1801,0.007167632822645,6818.624029936
1802,0.007174095381947,6822.086486047
1803,0.007180558293004,6825.545441518
1804,0.007187021555391,6829.000896216
1805,0.007193485168688,6832.452855016
1806,0.007199949132477,6835.901318295
1807,0.007206413446341,6839.346286644
1808,0.007212878109865,6842.78776334
1809,0.007219343122637,6846.225749415
1810,0.007225808484246,6849.660246567
1811,0.007232274194283,6853.091256499
1812,0.007238740252342,6856.518780918
1813,0.007245206658017,6859.942819061
1814,0.007251673410906,6863.36337694
1815,0.007258140510609,6866.780454266
1816,0.007264607956726,6870.194052738
1817,0.007271075748861,6873.604174059
1818,0.007277543886618,6877.010819932
1819,0.007284012369605,6880.413992399
1820,0.007290481197429,6883.813690701
1821,0.007296950369703,6887.209920067
1822,0.007303419886039,6890.602680703
1823,0.007309889746051,6893.991974316
1824,0.007316359949355,6897.377802624
1825,0.007322830495571,6900.760168058
1826,0.007329301384319,6904.139068144
1827,0.007335772615219,6907.514510323
1828,0.007342244187898,6910.886493341
1829,0.007348716101979,6914.255019927
1830,0.007355188357092,6917.620091306
1831,0.007361660952865,6920.981709188
1832,0.00736813388893,6924.339875284
1833,0.007374607164921,6927.694591319
1834,0.007381080780471,6931.045859027
1835,0.007387554735219,6934.393677336
1836,0.007394029028802,6937.738052834
1837,0.007400503660862,6941.078984981
1838,0.007406978631039,6944.41647548
1839,0.00741345393898,6947.750526042
1840,0.007419929584329,6951.081138385
